num,pron,char,main_mean,tot_stk,main_elem,disused,rad_stk,rad,rad_elem,detail_mean,meaning,stk_info,rad_id,no_rad_stk,rad_mean
38,각,却,물리칠,7,火,FALSE,2,卩(㔾),火,물리치다; 물러나다; 뒤집다; 어조사; 도리어; 틈,물리칠 【각】,총 7획 (부 5획),26,5,병부절
39,각,覺,깨달을,20,火,FALSE,7,見,火,깨닫다; 깨우치다; 깨달음; 나타나다; 나타내다; 높다; 크다; 곧다,깨달을 【각】,총 20획 (부 13획),147,13,⑦볼견
40,각,刻,새길,8,金,FALSE,2,刀(刂),金,새기다; 깎다; 해하다; 인정이 각박하다; 시각; 시일을 정하다,새길 【각】,총 8획 (부 6획),18,6,칼도
41,각,珏,쌍옥,10,金,FALSE,5,玉(王),金,한 쌍의 옥,쌍옥 【각】,총 10획 (부 5획),96,5,구슬옥
42,각,恪,삼갈,10,火,FALSE,4,心,火,삼가(하다) 근신(하다),삼갈 【각】,총 10획 (부 6획),61,6,마음심
43,각,殼,껍질,12,金,FALSE,4,殳,金,껍질; (내리)치다,껍질 【각】,총 12획 (부 8획),79,8,갖은둥글월문
44,각,愨,성실할,14,火,FALSE,4,心,火,"성실하다(誠實--); (거짓이 없고)정성스럽다(精誠---); 삼가다(몸가짐이나 언행을 조심하다); (행동을)조심하다; 바르다; 순박하다(淳朴ㆍ淳樸ㆍ醇朴--; 질박하다(質樸ㆍ質朴--: 꾸민 데가 없이 수수하다); 정성(精誠), 성실한 마음",성실할 【각】,총 14획 (부 10획),61,10,마음심
45,각,慤,성실할,15,火,FALSE,4,心,火,"성실하다(誠實--); (거짓이 없고)정성스럽다(精誠---); 삼가다(몸가짐이나 언행을 조심하다); (행동을)조심하다; 바르다; 순박하다(淳朴ㆍ淳樸ㆍ醇朴--); 질박하다(質樸ㆍ質朴--: 꾸민 데가 없이 수수하다); 정성(精誠), 성실한 마음",성실할 【각】,총 15획 (부 11획),61,11,마음심
46,간,干,방패,3,木,TRUE,3,干,木,방패; 막다; 범하다; 구하다; 간여하다; 개(수를 세는 단위); 산골물(澗); 물가; 천간; 교외; 새앙(생강),방패 【간】,총 3획 (부 0획),51,0,방패간
47,간,間,사이,12,木,TRUE,8,門,木,사이; 틈; 들어가다; 요마적(요사이); 염탐군; 엿보다; 번갈아들다; 헐뜯다; 이간하다; 거르다; 막다; 섞이다; 간여하다; (병이) 낫다; 잠시; 간(집의 방); 간간이; 몰래,사이 【간】,총 12획 (부 4획),169,4,문문
48,간,看,볼,9,木,FALSE,5,目,木,보다; 뵈다; 지키다; 대접,볼 【간】,총 9획 (부 4획),109,4,눈목
49,간,刊,새길,5,金,FALSE,2,刀(刂),金,새기다; 책을 펴내다; 베다; 깎다,새길 【간】,총 5획 (부 3획),18,3,칼도
50,간,肝,간,9,水,FALSE,6,肉(月),水,간(장); 마음; 요긴하다,간 【간】,총 9획 (부 3획),130,3,고기육
51,간,幹,줄기,13,木,FALSE,3,干,木,줄기(草木莖); 몸(體); 근본; 재능; 천간(干支); 우물 난간; 등뼈; 견디다,줄기 【간】,총 13획 (부 10획),51,10,방패간
52,간,簡,편지,18,木,FALSE,6,竹,木,대쪽; 편지; 문서; 가리다; 검열하다; 단출하다; 대범하다; 소홀히 하다; 간하다; 정성,편지 【간】,총 18획 (부 12획),118,12,대죽
53,간,姦,간음할,9,土,FALSE,3,女,土,간사하다; 간음하다 (奸과 通字),간음할 【간】,총 9획 (부 6획),38,6,계집녀
54,간,懇,정성,17,火,FALSE,4,心,火,정성; 간절하다; 간절히,정성 【간】,총 17획 (부 13획),61,13,마음심
55,간,艮,어긋날,6,土,FALSE,6,艮,土,어긋나다; 거스르다; 그치다; 어려워하다; 한정하다; 견고하다; 역의 괘의 이름; 축과 인과의 사이; 끌다,어긋날 【간】,총 6획 (부 0획),138,0,머무를간
56,간,侃,강직할,8,火,FALSE,2,人(亻),火,마음이 강강하고 곧은 모양; 강직하다,강직할 【간】,총 8획 (부 6획),9,6,사람인
57,간,杆,나무이름,7,木,FALSE,4,木,木,산뽕나무(山柘); 쓰러진 나무(木僵); 방패(盾); 박달나무(檀木); 난간(欄干); 토수(臂衣),나무이름 【간】,총 7획 (부 3획),75,3,나무목
58,간,玕,아름다운돌,8,金,FALSE,5,玉(王),金,아름다운 돌,아름다운돌 【간】,총 8획 (부 3획),96,3,구슬옥
59,간,桿,나무이름,11,木,FALSE,4,木,木,간난간; 방패; 쓰러진 나무; 나무 이름,나무이름 【간】,총 11획 (부 7획),75,7,나무목
60,간,竿,장대,9,木,FALSE,6,竹,木,(대나무) 장대; 횃대,장대 【간】,총 9획 (부 3획),118,3,대죽
61,간,揀,가릴,13,木,FALSE,4,手(扌),木,가리다; 가려뽑다; 구별하다; 분별하다,가릴 【간】,총 13획 (부 9획),64,9,손수
62,간,諫,간할,16,金,FALSE,7,言,金,간하다; 간하는 말,간할 【간】,총 16획 (부 9획),149,9,말씀언
63,간,墾,개간할,16,土,TRUE,3,土,土,따비하다(개간하다); 깨지다; 부서지다,개간할 【간】,총 16획 (부 13획),32,13,흙토
64,간,栞,나무로표할,10,木,TRUE,4,木,木,나무 쪼개다(斫木); 나무로 표하다(木識),나무로표할 【간】,총 10획 (부 6획),75,6,나무목
65,간,奸,간음할,6,土,TRUE,3,女,土,침범하다; 간음하다; 간악하다(姦); 요구하다(干),간음할 【간】,총 6획 (부 3획),38,3,계집녀
66,간,柬,가릴,9,木,FALSE,4,木,木,가리다; 분간하다; 편지,가릴 【간】,총 9획 (부 5획),75,5,나무목
67,간,澗,산골물,16,水,FALSE,4,水,水,산골 물,산골물 【간】,총 16획 (부 12획),85,12,물수
68,간,磵,산골물,17,金,FALSE,5,石,金,산골 물 (澗자와 同字),산골물 【간】,총 17획 (부 12획),112,12,돌석
